route_id,polyline,start_lat,start_lon,end_lat,end_lon,city,road_type_split,intersection_count,curvature_score,distance_km,duration_min,traffic_level,congestion_index,avg_speed_kmph,time_of_day,weekday,elevation_gain_m,elevation_loss_m,avg_slope_pct,last_updated
R000031,,28.622682,77.194027,28.614623,77.258929,Delhi,"{""highway"": 0.58, ""urban"": 0.22, ""local"": 0.2}",143,0.642,54.87,58.47,0,79,56.31,morning,Sunday,73.0,9.6,0.13,2025-11-13T11:00:07.336581
R000032,,19.038203,72.881012,19.121682,72.909147,Mumbai,"{""highway"": 0.68, ""urban"": 0.21, ""local"": 0.11}",5,0.309,29.41,74.43,2,16,23.71,morning,Thursday,4.6,1.9,0.02,2025-11-13T11:00:07.336606
R000033,,17.408979,78.451074,17.417957,78.474228,Hyderabad,"{""highway"": 0.67, ""urban"": 0.26, ""local"": 0.07}",16,0.344,15.66,45.79,4,50,20.52,evening,Monday,136.6,1.9,0.87,2025-11-13T11:00:07.336631
R000034,,19.033592,72.847948,19.036403,72.867951,Mumbai,"{""highway"": 0.27, ""urban"": 0.68, ""local"": 0.05}",49,0.122,20.08,41.56,3,35,28.99,afternoon,Saturday,93.9,2.3,0.47,2025-11-13T11:00:07.336656
R000035,,18.471682,73.865578,18.512481,73.83982,Pune,"{""highway"": 0.32, ""urban"": 0.46, ""local"": 0.22}",14,0.769,24.0,43.42,4,28,33.16,morning,Sunday,128.2,1.5,0.53,2025-11-13T11:00:07.336682
R000036,,17.378442,78.449846,17.339186,78.453241,Hyderabad,"{""highway"": 0.39, ""urban"": 0.4, ""local"": 0.21}",12,0.343,10.13,28.94,0,8,21.0,afternoon,Thursday,300.3,98.1,2.96,2025-11-13T11:00:07.336707
R000037,,28.642193,77.207898,28.637039,77.216217,Delhi,"{""highway"": 0.6, ""urban"": 0.27, ""local"": 0.13}",13,0.31,6.25,11.94,0,66,31.41,morning,Wednesday,345.0,190.2,5.52,2025-11-13T11:00:07.336732
R000038,,12.967415,77.587966,13.000588,77.589691,Bengaluru,"{""highway"": 0.37, ""urban"": 0.54, ""local"": 0.09}",92,0.407,43.01,80.58,5,36,32.03,evening,Saturday,160.8,70.1,0.37,2025-11-13T11:00:07.336773
R000039,,17.419731,78.438949,17.415118,78.46098,Hyderabad,"{""highway"": 0.35, ""urban"": 0.28, ""local"": 0.37}",5,0.396,3.22,5.1,2,5,37.88,afternoon,Wednesday,283.7,82.5,8.81,2025-11-13T11:00:07.336811
R000040,,17.416345,78.516112,17.428115,78.525174,Hyderabad,"{""highway"": 0.5, ""urban"": 0.49, ""local"": 0.01}",3,0.944,1.14,1.77,1,34,38.64,evening,Tuesday,257.7,194.8,22.61,2025-11-13T11:00:07.336847
R000041,,17.38666,78.531573,17.396422,78.468916,Hyderabad,"{""highway"": 0.23, ""urban"": 0.57, ""local"": 0.2}",5,0.976,6.81,12.65,3,95,32.3,evening,Tuesday,114.9,49.9,1.69,2025-11-13T11:00:07.336884
R000042,,12.964249,77.589057,12.933289,77.608778,Bengaluru,"{""highway"": 0.6, ""urban"": 0.39, ""local"": 0.01}",37,0.222,33.82,37.4,0,87,54.26,evening,Sunday,49.9,46.4,0.15,2025-11-13T11:00:07.336921
R000043,,19.053813,72.86096,19.026036,72.860507,Mumbai,"{""highway"": 0.15, ""urban"": 0.44, ""local"": 0.41}",64,0.172,45.22,94.38,3,51,28.75,afternoon,Thursday,7.8,5.5,0.02,2025-11-13T11:00:07.336958
R000044,,12.92527,77.623294,13.010614,77.551646,Bengaluru,"{""highway"": 0.61, ""urban"": 0.32, ""local"": 0.07}",43,0.108,34.35,109.45,1,59,18.83,afternoon,Tuesday,181.1,2.9,0.53,2025-11-13T11:00:07.336995
R000045,,17.393559,78.535653,17.434506,78.507334,Hyderabad,"{""highway"": 0.16, ""urban"": 0.79, ""local"": 0.05}",96,0.358,45.33,142.03,3,58,19.15,evening,Saturday,332.6,323.7,0.73,2025-11-13T11:00:07.337036
R000046,,18.545028,73.836889,18.495367,73.815112,Pune,"{""highway"": 0.34, ""urban"": 0.51, ""local"": 0.15}",43,0.727,15.56,53.4,3,79,17.48,evening,Wednesday,179.3,108.7,1.15,2025-11-13T11:00:07.337071
R000047,,13.011849,77.578338,12.996867,77.599185,Bengaluru,"{""highway"": 0.36, ""urban"": 0.51, ""local"": 0.13}",2,0.403,1.43,3.57,4,52,24.03,evening,Sunday,55.8,36.7,3.9,2025-11-13T11:00:07.337388
R000048,,13.018366,77.58265,13.01266,77.615944,Bengaluru,"{""highway"": 0.11, ""urban"": 0.24, ""local"": 0.65}",92,0.896,34.37,119.01,4,18,17.33,afternoon,Tuesday,195.2,182.0,0.57,2025-11-13T11:00:07.337434
R000049,,18.540528,73.867323,18.491528,73.869714,Pune,"{""highway"": 0.23, ""urban"": 0.46, ""local"": 0.31}",14,0.072,7.51,23.66,1,52,19.04,afternoon,Monday,251.5,169.9,3.35,2025-11-13T11:00:07.337467
R000050,,19.063467,72.911048,19.052721,72.921253,Mumbai,"{""highway"": 0.53, ""urban"": 0.44, ""local"": 0.03}",2,0.526,1.37,2.42,0,66,33.97,afternoon,Sunday,179.2,170.8,13.08,2025-11-13T11:00:07.337497
R000051,,18.507869,73.850251,18.528237,73.841227,Pune,"{""highway"": 0.14, ""urban"": 0.55, ""local"": 0.31}",11,0.864,5.06,8.28,4,5,36.67,morning,Wednesday,182.6,3.6,3.61,2025-11-13T11:00:07.337524
R000052,,19.105284,72.919158,19.104971,72.917069,Mumbai,"{""highway"": 0.57, ""urban"": 0.43, ""local"": 0.0}",4,0.75,1.46,5.36,2,41,16.34,afternoon,Friday,63.6,53.8,4.36,2025-11-13T11:00:07.337559
R000053,,18.569983,73.807789,18.551554,73.894483,Pune,"{""highway"": 0.59, ""urban"": 0.25, ""local"": 0.16}",15,0.638,51.03,80.88,5,14,37.86,morning,Monday,322.8,309.5,0.63,2025-11-13T11:00:07.337586
R000054,,28.583733,77.177508,28.599161,77.190933,Delhi,"{""highway"": 0.53, ""urban"": 0.31, ""local"": 0.16}",31,0.651,15.01,43.42,3,15,20.74,afternoon,Sunday,68.8,37.6,0.46,2025-11-13T11:00:07.337614
R000055,,17.393578,78.483102,17.375527,78.473328,Hyderabad,"{""highway"": 0.23, ""urban"": 0.27, ""local"": 0.5}",55,0.01,31.45,78.05,2,55,24.18,afternoon,Friday,194.4,122.6,0.62,2025-11-13T11:00:07.337643
R000056,,18.48406,73.88781,18.540238,73.885502,Pune,"{""highway"": 0.22, ""urban"": 0.37, ""local"": 0.41}",34,0.533,38.88,86.36,1,38,27.01,afternoon,Friday,275.9,5.4,0.71,2025-11-13T11:00:07.337686
R000057,,28.579805,77.243957,28.639348,77.194976,Delhi,"{""highway"": 0.05, ""urban"": 0.71, ""local"": 0.24}",30,0.85,15.68,28.88,5,12,32.58,evening,Saturday,319.2,191.6,2.04,2025-11-13T11:00:07.337713
R000058,,17.343486,78.521727,17.395307,78.503021,Hyderabad,"{""highway"": 0.25, ""urban"": 0.68, ""local"": 0.07}",114,0.084,44.07,115.96,4,21,22.8,morning,Tuesday,306.2,47.7,0.69,2025-11-13T11:00:07.337740
R000059,,28.661938,77.16421,28.572826,77.233078,Delhi,"{""highway"": 0.27, ""urban"": 0.43, ""local"": 0.3}",7,0.815,11.91,27.74,2,46,25.76,evening,Thursday,320.8,25.3,2.69,2025-11-13T11:00:07.337783
R000060,,17.350739,78.53157,17.343637,78.476836,Hyderabad,"{""highway"": 0.01, ""urban"": 0.53, ""local"": 0.46}",2,0.947,23.74,39.15,3,12,36.38,evening,Sunday,243.5,151.4,1.03,2025-11-13T11:00:07.337809
R000061,,28.568232,77.240461,28.568197,77.223018,Delhi,"{""highway"": 0.38, ""urban"": 0.48, ""local"": 0.14}",16,0.61,19.44,32.68,5,31,35.69,morning,Sunday,179.0,47.7,0.92,2025-11-13T11:00:07.337844
R000062,,17.401217,78.443475,17.43192,78.521778,Hyderabad,"{""highway"": 0.68, ""urban"": 0.22, ""local"": 0.1}",102,0.649,47.79,128.61,2,24,22.3,morning,Wednesday,341.8,21.4,0.72,2025-11-13T11:00:07.337892
R000063,,28.606148,77.225313,28.655323,77.217731,Delhi,"{""highway"": 0.33, ""urban"": 0.36, ""local"": 0.31}",146,0.304,55.16,126.65,5,49,26.13,evening,Tuesday,60.1,12.9,0.11,2025-11-13T11:00:07.337931
R000064,,13.083481,80.263591,13.037168,80.3176,Chennai,"{""highway"": 0.68, ""urban"": 0.23, ""local"": 0.09}",6,0.395,3.55,7.28,4,37,29.26,afternoon,Monday,312.2,26.9,8.79,2025-11-13T11:00:07.337962
R000065,,18.553455,73.821656,18.514542,73.873848,Pune,"{""highway"": 0.52, ""urban"": 0.46, ""local"": 0.02}",80,0.508,32.35,101.47,4,80,19.13,morning,Monday,183.0,52.0,0.57,2025-11-13T11:00:07.337998
R000066,,13.040413,80.299611,13.037448,80.23217,Chennai,"{""highway"": 0.59, ""urban"": 0.28, ""local"": 0.13}",56,0.514,43.46,89.48,5,12,29.14,evening,Sunday,277.6,33.9,0.64,2025-11-13T11:00:07.338028
R000067,,28.657963,77.24981,28.6204,77.164647,Delhi,"{""highway"": 0.4, ""urban"": 0.51, ""local"": 0.09}",106,0.794,35.81,106.0,5,45,20.27,morning,Thursday,318.3,99.6,0.89,2025-11-13T11:00:07.338054
R000068,,19.06662,72.921945,19.07035,72.901704,Mumbai,"{""highway"": 0.51, ""urban"": 0.45, ""local"": 0.04}",146,0.083,49.44,88.32,3,72,33.59,morning,Saturday,92.2,61.2,0.19,2025-11-13T11:00:07.338088
R000069,,19.110071,72.874568,19.088076,72.875346,Mumbai,"{""highway"": 0.16, ""urban"": 0.56, ""local"": 0.28}",19,0.956,18.32,31.69,1,98,34.69,evening,Saturday,122.8,18.1,0.67,2025-11-13T11:00:07.338119
R000070,,17.372223,78.515539,17.3893,78.52248,Hyderabad,"{""highway"": 0.6, ""urban"": 0.33, ""local"": 0.07}",2,0.814,1.95,2.85,4,87,41.05,morning,Saturday,144.0,39.7,7.38,2025-11-13T11:00:07.338152
R000071,,13.13037,80.232253,13.089734,80.284504,Chennai,"{""highway"": 0.22, ""urban"": 0.6, ""local"": 0.18}",40,0.666,31.88,77.23,4,6,24.77,evening,Monday,16.2,13.2,0.05,2025-11-13T11:00:07.338179
R000072,,17.350246,78.452609,17.404419,78.515668,Hyderabad,"{""highway"": 0.57, ""urban"": 0.34, ""local"": 0.09}",2,0.819,1.19,1.86,5,24,38.39,morning,Thursday,233.6,147.1,19.63,2025-11-13T11:00:07.338225
R000073,,28.602148,77.173192,28.585724,77.165615,Delhi,"{""highway"": 0.32, ""urban"": 0.43, ""local"": 0.25}",26,0.698,23.73,42.74,5,28,33.31,evening,Monday,202.5,161.4,0.85,2025-11-13T11:00:07.338251
R000074,,19.080252,72.843963,19.048541,72.864098,Mumbai,"{""highway"": 0.03, ""urban"": 0.24, ""local"": 0.73}",31,0.42,29.92,76.93,1,26,23.34,morning,Wednesday,296.6,281.8,0.99,2025-11-13T11:00:07.338294
R000075,,17.363182,78.446709,17.42663,78.479717,Hyderabad,"{""highway"": 0.39, ""urban"": 0.5, ""local"": 0.11}",64,0.719,30.79,47.94,2,37,38.54,morning,Sunday,328.7,284.4,1.07,2025-11-13T11:00:07.338320
R000076,,28.652016,77.238114,28.595466,77.197425,Delhi,"{""highway"": 0.38, ""urban"": 0.28, ""local"": 0.34}",27,0.455,9.22,8.8,1,28,62.86,afternoon,Wednesday,280.4,50.0,3.04,2025-11-13T11:00:07.338346
R000077,,12.92195,77.598588,13.006675,77.615756,Bengaluru,"{""highway"": 0.09, ""urban"": 0.48, ""local"": 0.43}",5,0.631,17.69,23.92,3,82,44.37,morning,Tuesday,159.1,94.6,0.9,2025-11-13T11:00:07.338385
R000078,,13.064477,80.246989,13.058635,80.245554,Chennai,"{""highway"": 0.69, ""urban"": 0.25, ""local"": 0.06}",3,0.581,3.98,5.99,4,12,39.87,morning,Wednesday,67.2,33.4,1.69,2025-11-13T11:00:07.338412
R000079,,13.010702,77.571241,12.966756,77.593237,Bengaluru,"{""highway"": 0.19, ""urban"": 0.47, ""local"": 0.34}",7,0.703,22.27,43.28,4,57,30.87,afternoon,Friday,99.2,76.2,0.45,2025-11-13T11:00:07.338437
R000080,,28.591008,77.249272,28.661985,77.235551,Delhi,"{""highway"": 0.01, ""urban"": 0.57, ""local"": 0.42}",21,0.482,12.66,15.77,2,16,48.17,morning,Monday,91.5,82.8,0.72,2025-11-13T11:00:07.338462
R000081,,17.431092,78.489866,17.433499,78.480903,Hyderabad,"{""highway"": 0.35, ""urban"": 0.32, ""local"": 0.33}",39,0.823,20.67,39.34,0,39,31.53,evening,Monday,86.5,60.7,0.42,2025-11-13T11:00:07.338501
R000082,,19.06844,72.900605,19.091074,72.887415,Mumbai,"{""highway"": 0.32, ""urban"": 0.46, ""local"": 0.22}",10,0.288,16.88,39.7,3,72,25.51,evening,Saturday,249.5,206.8,1.48,2025-11-13T11:00:07.338528
R000083,,17.391332,78.529943,17.374071,78.446927,Hyderabad,"{""highway"": 0.35, ""urban"": 0.25, ""local"": 0.4}",48,0.979,35.75,62.97,5,34,34.06,evening,Monday,307.6,136.4,0.86,2025-11-13T11:00:07.338555
R000084,,18.545157,73.895893,18.547142,73.895376,Pune,"{""highway"": 0.61, ""urban"": 0.26, ""local"": 0.13}",38,0.972,15.34,31.21,0,77,29.49,evening,Monday,279.7,212.0,1.82,2025-11-13T11:00:07.338580
R000085,,18.544801,73.848282,18.529968,73.837145,Pune,"{""highway"": 0.4, ""urban"": 0.55, ""local"": 0.05}",40,0.155,37.81,84.83,3,46,26.74,evening,Saturday,208.1,59.5,0.55,2025-11-13T11:00:07.338607
R000086,,12.952952,77.632958,13.018632,77.589431,Bengaluru,"{""highway"": 0.22, ""urban"": 0.22, ""local"": 0.56}",47,0.52,16.74,48.75,4,12,20.6,morning,Saturday,189.6,5.6,1.13,2025-11-13T11:00:07.338632
R000087,,12.992786,77.562615,12.978703,77.553105,Bengaluru,"{""highway"": 0.05, ""urban"": 0.41, ""local"": 0.54}",84,0.783,28.48,94.99,0,64,17.99,morning,Sunday,316.1,84.7,1.11,2025-11-13T11:00:07.338656
R000088,,19.125238,72.89842,19.096281,72.877273,Mumbai,"{""highway"": 0.4, ""urban"": 0.47, ""local"": 0.13}",144,0.188,56.86,170.61,2,78,20.0,morning,Tuesday,277.1,73.0,0.49,2025-11-13T11:00:07.338682
R000089,,13.124101,80.308406,13.123711,80.276197,Chennai,"{""highway"": 0.66, ""urban"": 0.28, ""local"": 0.06}",19,0.717,19.58,43.14,4,67,27.23,morning,Friday,257.5,229.1,1.32,2025-11-13T11:00:07.338708
R000090,,17.41713,78.481357,17.419379,78.462471,Hyderabad,"{""highway"": 0.3, ""urban"": 0.67, ""local"": 0.03}",140,0.132,58.52,182.2,4,92,19.27,afternoon,Tuesday,101.1,9.8,0.17,2025-11-13T11:00:07.338744
R000091,,18.514373,73.823743,18.539922,73.837112,Pune,"{""highway"": 0.64, ""urban"": 0.26, ""local"": 0.1}",9,0.835,3.67,8.92,5,10,24.69,afternoon,Saturday,310.4,216.6,8.46,2025-11-13T11:00:07.338778
R000092,,18.510232,73.888518,18.544443,73.838034,Pune,"{""highway"": 0.31, ""urban"": 0.68, ""local"": 0.01}",6,0.956,6.3,15.8,0,52,23.92,morning,Wednesday,290.4,54.8,4.61,2025-11-13T11:00:07.338804
R000093,,17.342306,78.528524,17.424476,78.523053,Hyderabad,"{""highway"": 0.41, ""urban"": 0.38, ""local"": 0.21}",18,0.961,7.11,9.51,4,53,44.86,evening,Tuesday,307.8,187.9,4.33,2025-11-13T11:00:07.338830
R000094,,28.63,77.258245,28.57886,77.191528,Delhi,"{""highway"": 0.59, ""urban"": 0.23, ""local"": 0.18}",12,0.039,53.73,150.01,2,77,21.49,evening,Friday,22.0,3.3,0.04,2025-11-13T11:00:07.338856
R000095,,13.102363,80.228018,13.0336,80.237897,Chennai,"{""highway"": 0.01, ""urban"": 0.86, ""local"": 0.13}",14,0.713,34.52,85.12,3,41,24.33,morning,Wednesday,92.7,67.4,0.27,2025-11-13T11:00:07.338880
R000096,,18.512774,73.809681,18.481185,73.88088,Pune,"{""highway"": 0.6, ""urban"": 0.26, ""local"": 0.14}",40,0.182,41.6,88.3,2,41,28.27,evening,Sunday,88.7,78.9,0.21,2025-11-13T11:00:07.338905
R000097,,28.648359,77.192085,28.594304,77.215411,Delhi,"{""highway"": 0.49, ""urban"": 0.35, ""local"": 0.16}",69,0.053,37.08,64.66,4,70,34.41,afternoon,Tuesday,115.9,113.5,0.31,2025-11-13T11:00:07.338931
R000098,,19.094928,72.859797,19.106716,72.895526,Mumbai,"{""highway"": 0.45, ""urban"": 0.23, ""local"": 0.32}",15,0.169,27.7,48.35,4,74,34.37,morning,Saturday,233.7,40.4,0.84,2025-11-13T11:00:07.338971
R000099,,28.621964,77.186713,28.657147,77.165476,Delhi,"{""highway"": 0.2, ""urban"": 0.27, ""local"": 0.53}",13,0.465,29.9,45.73,3,56,39.23,afternoon,Saturday,308.4,22.5,1.03,2025-11-13T11:00:07.339000
R000100,,19.088328,72.87331,19.072355,72.846106,Mumbai,"{""highway"": 0.62, ""urban"": 0.24, ""local"": 0.14}",27,0.206,9.27,29.61,4,36,18.78,morning,Friday,32.5,7.2,0.35,2025-11-13T11:00:07.339036
R000101,,17.434254,78.498704,17.344574,78.516343,Hyderabad,"{""highway"": 0.02, ""urban"": 0.32, ""local"": 0.66}",123,0.407,44.7,110.28,3,68,24.32,afternoon,Friday,226.0,187.0,0.51,2025-11-13T11:00:07.339061
R000102,,28.609867,77.239217,28.581945,77.246425,Delhi,"{""highway"": 0.45, ""urban"": 0.49, ""local"": 0.06}",4,0.91,18.33,28.12,2,18,39.11,morning,Wednesday,341.4,337.1,1.86,2025-11-13T11:00:07.339086
R000103,,18.47792,73.905841,18.535555,73.874857,Pune,"{""highway"": 0.51, ""urban"": 0.35, ""local"": 0.14}",89,0.529,56.14,126.83,3,96,26.56,afternoon,Sunday,61.3,28.5,0.11,2025-11-13T11:00:07.339127
R000104,,17.338403,78.49255,17.360784,78.519921,Hyderabad,"{""highway"": 0.21, ""urban"": 0.25, ""local"": 0.54}",37,0.504,13.53,21.98,5,71,36.93,afternoon,Wednesday,12.8,6.5,0.09,2025-11-13T11:00:07.339153
R000105,,28.659784,77.247822,28.620592,77.177095,Delhi,"{""highway"": 0.55, ""urban"": 0.32, ""local"": 0.13}",9,0.047,11.74,21.43,0,64,32.87,evening,Sunday,24.3,24.1,0.21,2025-11-13T11:00:07.339178
R000106,,28.615428,77.253061,28.634135,77.257259,Delhi,"{""highway"": 0.21, ""urban"": 0.35, ""local"": 0.44}",66,0.788,45.5,97.28,0,72,28.06,morning,Monday,279.0,175.7,0.61,2025-11-13T11:00:07.339217
R000107,,13.123196,80.282679,13.125222,80.266188,Chennai,"{""highway"": 0.28, ""urban"": 0.57, ""local"": 0.15}",106,0.504,46.94,145.25,3,63,19.39,morning,Friday,333.4,232.0,0.71,2025-11-13T11:00:07.339246
R000108,,13.097566,80.234661,13.069538,80.270689,Chennai,"{""highway"": 0.09, ""urban"": 0.28, ""local"": 0.63}",148,0.697,58.33,67.91,1,5,51.54,evening,Wednesday,316.9,41.6,0.54,2025-11-13T11:00:07.339271
R000109,,12.968907,77.605104,12.96442,77.558751,Bengaluru,"{""highway"": 0.55, ""urban"": 0.29, ""local"": 0.16}",138,0.987,56.56,147.05,4,76,23.08,afternoon,Saturday,279.4,143.8,0.49,2025-11-13T11:00:07.339317
R000110,,12.99185,77.565864,12.933682,77.631371,Bengaluru,"{""highway"": 0.48, ""urban"": 0.5, ""local"": 0.02}",47,0.698,21.19,48.27,0,70,26.34,evening,Tuesday,110.0,16.6,0.52,2025-11-13T11:00:07.339355
R000111,,13.100235,80.229863,13.063677,80.230955,Chennai,"{""highway"": 0.66, ""urban"": 0.23, ""local"": 0.11}",72,0.619,33.89,42.93,3,32,47.37,evening,Saturday,23.0,0.4,0.07,2025-11-13T11:00:07.339382
