trip_id,assignment_id,driver_id,vehicle_id,route_id,start_time,end_time,distance_km,duration_min,fuel_before_l,fuel_after_l,fuel_used_l,co2_kg,avg_speed_kmph,stop_count,anomaly_flag,geo_trace,created_at
T000060,A000370,d0022,v0049,R001038,2025-11-18T04:15:00,2025-11-18T04:22:00,3.28,7,31.67,28.49,0.699,1.873,28.11,4,False,[],2025-11-13T11:09:24.257716
T000061,A000044,d0056,v0085,R000007,2025-11-14T18:45:00,2025-11-14T20:26:00,55.22,101,22.38,25.46,5.136,11.864,32.8,103,False,[],2025-11-13T11:09:24.258858
T000062,A000307,d0139,v0111,R000018,2025-11-17T12:30:00,2025-11-17T13:06:00,20.61,36,45.49,17.74,5.93,11.267,34.35,3,False,[],2025-11-13T11:09:24.260102
T000063,A000146,d0109,v0101,R000868,2025-11-15T20:15:00,2025-11-15T22:17:00,52.36,122,42.45,38.66,9.823,22.691,25.75,140,False,[],2025-11-13T11:09:24.261388
T000064,A000100,d0156,v0067,R000150,2025-11-15T08:45:00,2025-11-15T10:44:00,48.78,119,23.0,39.97,11.869,31.809,24.59,76,False,[],2025-11-13T11:09:24.262612
T000065,A000378,d0001,v0089,R000901,2025-11-18T06:15:00,2025-11-18T07:53:00,37.0,98,28.94,12.9,7.979,18.431,22.65,84,False,[],2025-11-13T11:09:24.263838
T000066,A000439,d0125,v0137,R000184,2025-11-18T21:30:00,2025-11-18T22:34:00,27.22,64,46.53,16.9,5.4,14.472,25.52,23,False,[],2025-11-13T11:09:24.265097
T000067,A000292,d0100,v0143,R000532,2025-11-17T08:45:00,2025-11-17T10:40:00,45.53,115,26.32,31.62,11.045,20.986,23.75,70,False,[],2025-11-13T11:09:24.266262
T000068,A000219,d0030,v0019,R000179,2025-11-16T14:30:00,2025-11-16T16:08:00,29.73,98,28.03,23.97,3.457,7.986,18.2,48,False,[],2025-11-13T11:09:24.267469
T000069,A000191,d0187,v0055,R000939,2025-11-16T07:30:00,2025-11-16T07:58:00,27.49,28,51.05,10.01,5.061,11.691,58.91,29,False,[],2025-11-13T11:09:24.268814
T000070,A000022,d0118,v0121,R000274,2025-11-14T13:15:00,2025-11-14T14:53:00,41.76,98,51.28,19.7,4.008,10.741,25.57,11,False,[],2025-11-13T11:09:24.270144
T000071,A000419,d0167,v0064,R000410,2025-11-18T16:30:00,2025-11-18T16:42:00,10.23,12,26.66,18.26,1.88,5.038,51.15,10,False,[],2025-11-13T11:09:24.271569
T000072,A000169,d0107,v0136,R000692,2025-11-16T02:00:00,2025-11-16T04:02:00,47.08,122,23.56,25.08,6.379,14.735,23.15,57,False,[],2025-11-13T11:09:24.272922
T000073,A000228,d0112,v0102,R000551,2025-11-16T16:45:00,2025-11-16T18:17:00,37.4,92,38.52,19.72,6.314,11.997,24.39,43,False,[],2025-11-13T11:09:24.274175
T000074,A000436,d0017,v0086,R000759,2025-11-18T20:45:00,2025-11-18T20:58:00,5.73,13,31.47,10.69,1.046,2.803,26.45,10,False,[],2025-11-13T11:09:24.275415
T000075,A000442,d0077,v0041,R001091,2025-11-18T22:15:00,2025-11-18T23:57:00,44.28,102,59.03,19.39,10.736,28.772,26.05,78,False,[],2025-11-13T11:09:24.276734
T000076,A000096,d0041,v0101,R001111,2025-11-15T07:45:00,2025-11-15T10:43:00,35.62,178,51.33,17.46,3.097,7.154,12.01,96,False,[],2025-11-13T11:09:24.277937
T000077,A000387,d0127,v0110,R000739,2025-11-18T08:30:00,2025-11-18T09:19:00,23.54,49,22.24,21.66,2.418,6.48,28.82,12,False,[],2025-11-13T11:09:24.279127
T000078,A000251,d0010,v0118,R000282,2025-11-16T22:30:00,2025-11-17T00:51:00,40.13,141,56.42,25.98,6.195,16.603,17.08,46,False,[],2025-11-13T11:09:24.280394
T000079,A000158,d0081,v0125,R000124,2025-11-15T23:15:00,2025-11-15T23:29:00,5.48,14,26.78,11.54,0.447,1.198,23.49,9,False,[],2025-11-13T11:09:24.281709
T000080,A000057,d0016,v0021,R000799,2025-11-14T22:00:00,2025-11-14T23:26:00,24.98,86,23.24,12.95,3.041,5.778,17.43,53,False,[],2025-11-13T11:09:24.282964
T000081,A000075,d0105,v0075,R000446,2025-11-15T02:30:00,2025-11-15T02:41:00,10.18,11,55.74,20.87,3.768,10.098,55.53,3,False,[],2025-11-13T11:09:24.284269
T000082,A000149,d0064,v0033,R001100,2025-11-15T21:00:00,2025-11-15T21:41:00,41.16,41,30.74,22.95,4.527,8.601,60.23,49,False,[],2025-11-13T11:09:24.285554
T000083,A000393,d0058,v0052,R000839,2025-11-18T10:00:00,2025-11-18T12:23:00,52.76,143,55.48,25.73,31.582,60.006,22.14,78,False,[],2025-11-13T11:09:24.286877
T000084,A000336,d0019,v0054,R000033,2025-11-17T19:45:00,2025-11-17T20:27:00,15.66,42,51.55,15.59,2.954,7.917,22.37,16,False,[],2025-11-13T11:09:24.288181
T000085,A000062,d0079,v0061,R000528,2025-11-14T23:15:00,2025-11-15T00:23:00,21.94,68,54.57,31.65,2.689,7.207,19.36,58,False,[],2025-11-13T11:09:24.289538
T000086,A000500,d0160,v0077,R000467,2025-11-19T12:45:00,2025-11-19T15:37:00,36.33,172,50.33,13.86,8.818,20.37,12.67,46,False,[],2025-11-13T11:09:24.290848
T000087,A000473,d0197,v0043,R000708,2025-11-19T06:00:00,2025-11-19T06:24:00,11.14,24,40.96,33.22,2.674,5.081,27.85,32,False,[],2025-11-13T11:09:24.292184
T000088,A000101,d0170,v0029,R000113,2025-11-15T09:00:00,2025-11-15T10:00:00,40.59,60,20.84,23.83,7.054,13.403,40.59,79,False,[],2025-11-13T11:09:24.293582
T000089,A000389,d0059,v0008,R000602,2025-11-18T09:00:00,2025-11-18T10:32:00,38.84,92,35.24,21.64,8.822,20.379,25.33,84,False,[],2025-11-13T11:09:24.294956
T000090,A000449,d0050,v0026,R000548,2025-11-19T00:00:00,2025-11-19T01:08:00,30.69,68,54.23,25.98,7.526,20.17,27.08,57,False,[],2025-11-13T11:09:24.296217
T000091,A000065,d0188,v0117,R000510,2025-11-15T00:00:00,2025-11-15T02:03:00,50.57,123,49.88,17.29,8.252,19.062,24.67,151,True,[],2025-11-13T11:09:24.297724
T000092,A000415,d0068,v0049,R000012,2025-11-18T15:30:00,2025-11-18T16:55:00,58.69,85,58.92,29.86,16.5,44.22,41.43,26,False,[],2025-11-13T11:09:24.299057
T000093,A000127,d0044,v0047,R000768,2025-11-15T15:30:00,2025-11-15T17:17:00,45.92,107,43.44,32.22,8.903,20.566,25.75,24,False,[],2025-11-13T11:09:24.300443
T000094,A000362,d0141,v0034,R001159,2025-11-18T02:15:00,2025-11-18T03:50:00,59.07,95,52.36,30.79,10.126,23.391,37.31,62,False,[],2025-11-13T11:09:24.301739
T000095,A000478,d0037,v0018,R000834,2025-11-19T07:15:00,2025-11-19T08:20:00,55.35,65,46.46,27.99,5.54,12.797,51.09,75,False,[],2025-11-13T11:09:24.303133
T000096,A000198,d0052,v0139,R000630,2025-11-16T09:15:00,2025-11-16T09:34:00,3.95,19,34.05,20.74,0.46,0.874,12.47,3,False,[],2025-11-13T11:09:24.304641
T000097,A000012,d0148,v0050,R001058,2025-11-14T10:45:00,2025-11-14T12:21:00,39.75,96,30.14,10.68,4.167,11.168,24.84,12,False,[],2025-11-13T11:09:24.306086
T000098,A000034,d0159,v0150,R001156,2025-11-14T16:15:00,2025-11-14T19:20:00,45.99,185,44.34,20.18,17.622,47.227,14.92,46,False,[],2025-11-13T11:09:24.307524
T000099,A000406,d0157,v0092,R000358,2025-11-18T13:15:00,2025-11-18T14:23:00,34.93,68,57.5,31.03,3.406,6.471,30.82,56,False,[],2025-11-13T11:09:24.309222
T000100,A000231,d0012,v0128,R001065,2025-11-16T17:30:00,2025-11-16T19:21:00,35.55,111,35.83,22.04,4.673,8.879,19.22,6,False,[],2025-11-13T11:09:24.310824
T000101,A000300,d0121,v0049,R000121,2025-11-17T10:45:00,2025-11-17T12:15:00,57.36,90,42.59,17.06,12.701,34.039,38.24,108,False,[],2025-11-13T11:09:24.312261
T000102,A000405,d0076,v0102,R000407,2025-11-18T13:00:00,2025-11-18T14:35:00,54.93,95,25.61,27.92,10.67,20.273,34.69,44,False,[],2025-11-13T11:09:24.313683
T000103,A000181,d0144,v0103,R000635,2025-11-16T05:00:00,2025-11-16T07:37:00,44.99,157,53.45,29.42,10.012,19.023,17.19,83,False,[],2025-11-13T11:09:24.315104
T000104,A000168,d0018,v0097,R000008,2025-11-16T01:45:00,2025-11-16T04:07:00,45.2,142,56.25,25.8,7.289,19.535,19.1,76,False,[],2025-11-13T11:09:24.316359
T000105,A000342,d0101,v0064,R000608,2025-11-17T21:15:00,2025-11-17T22:26:00,45.8,71,47.65,10.55,6.399,17.149,38.7,34,False,[],2025-11-13T11:09:24.317752
T000106,A000194,d0040,v0073,R001147,2025-11-16T08:15:00,2025-11-16T08:36:00,8.03,21,57.73,34.76,1.313,2.495,22.94,7,False,[],2025-11-13T11:09:24.319117
T000107,A000347,d0012,v0082,R000624,2025-11-17T22:30:00,2025-11-17T23:50:00,56.1,80,56.29,29.84,6.389,14.759,42.08,136,False,[],2025-11-13T11:09:24.320621
T000108,A000202,d0163,v0095,R000242,2025-11-16T10:15:00,2025-11-16T10:38:00,7.5,23,46.27,10.62,0.765,2.05,19.57,20,False,[],2025-11-13T11:09:24.322146
T000109,A000434,d0020,v0060,R001101,2025-11-18T20:15:00,2025-11-18T22:02:00,29.66,107,58.49,17.08,5.99,11.381,16.63,16,False,[],2025-11-13T11:09:24.323509
T000110,A000283,d0171,v0062,R000448,2025-11-17T06:30:00,2025-11-17T07:45:00,25.27,75,23.51,22.96,3.429,7.921,20.22,7,False,[],2025-11-13T11:09:24.324944
T000111,A000109,d0182,v0050,R000276,2025-11-15T11:00:00,2025-11-15T12:44:00,45.66,104,43.75,18.18,4.756,12.746,26.34,46,False,[],2025-11-13T11:09:24.326311
T000112,A000113,d0117,v0078,R000175,2025-11-15T12:00:00,2025-11-15T12:28:00,10.4,28,32.77,33.87,1.754,4.052,22.29,27,False,[],2025-11-13T11:09:24.327642
T000113,A000468,d0052,v0122,R000183,2025-11-19T04:45:00,2025-11-19T05:41:00,24.31,56,36.31,28.82,7.911,21.201,26.05,63,False,[],2025-11-13T11:09:24.329032
T000114,A000467,d0054,v0142,R000761,2025-11-19T04:30:00,2025-11-19T04:54:00,16.74,24,37.45,28.13,2.904,7.783,41.85,28,True,[],2025-11-13T11:09:24.330403
T000115,A000213,d0132,v0083,R000989,2025-11-16T13:00:00,2025-11-16T15:32:00,55.57,152,23.41,19.31,14.77,34.119,21.94,139,False,[],2025-11-13T11:09:24.331658
T000116,A000248,d0058,v0085,R000830,2025-11-16T21:45:00,2025-11-17T00:42:00,55.48,177,27.56,11.84,5.078,11.73,18.81,48,False,[],2025-11-13T11:09:24.332994
T000117,A000019,d0125,v0137,R000886,2025-11-14T12:30:00,2025-11-14T14:28:00,33.7,118,49.88,24.58,7.523,20.162,17.14,38,False,[],2025-11-13T11:09:24.334273
T000118,A000482,d0117,v0147,R000327,2025-11-19T08:15:00,2025-11-19T10:20:00,48.32,125,45.84,23.76,7.737,14.7,23.19,139,False,[],2025-11-13T11:09:24.335545
T000119,A000263,d0089,v0019,R000428,2025-11-17T01:30:00,2025-11-17T03:35:00,55.89,125,42.36,22.14,8.24,19.034,26.83,156,False,[],2025-11-13T11:09:24.336895
T000120,A000249,d0170,v0045,R000556,2025-11-16T22:00:00,2025-11-16T23:58:00,43.85,118,36.77,13.79,13.801,31.88,22.3,2,False,[],2025-11-13T11:09:24.338144
T000121,A000237,d0097,v0024,R000478,2025-11-16T19:00:00,2025-11-16T20:20:00,47.4,80,43.38,13.34,6.815,15.743,35.55,130,False,[],2025-11-13T11:09:24.339424
T000122,A000222,d0058,v0148,R000261,2025-11-16T15:15:00,2025-11-16T16:22:00,19.25,67,49.16,30.54,5.595,10.63,17.24,10,False,[],2025-11-13T11:09:24.340773
T000123,A000015,d0087,v0144,R000657,2025-11-14T11:30:00,2025-11-14T13:20:00,33.41,110,34.23,34.76,8.335,15.836,18.22,9,False,[],2025-11-13T11:09:24.342092
T000124,A000157,d0120,v0087,R000505,2025-11-15T23:00:00,2025-11-16T01:06:00,58.02,126,58.95,38.6,4.462,11.958,27.63,122,False,[],2025-11-13T11:09:24.343394
T000125,A000061,d0115,v0143,R001041,2025-11-14T23:00:00,2025-11-15T01:51:00,37.57,171,39.25,10.81,4.87,9.253,13.18,94,False,[],2025-11-13T11:09:24.344711
T000126,A000233,d0046,v0045,R000943,2025-11-16T18:00:00,2025-11-16T20:54:00,52.97,174,45.76,32.49,10.321,23.842,18.27,37,False,[],2025-11-13T11:09:24.345993
T000127,A000388,d0144,v0012,R000483,2025-11-18T08:45:00,2025-11-18T08:47:00,1.66,2,56.1,11.42,0.445,0.845,49.8,3,False,[],2025-11-13T11:09:24.347319
T000128,A000390,d0130,v0021,R000499,2025-11-18T09:15:00,2025-11-18T09:54:00,15.56,39,31.89,22.14,1.276,2.424,23.94,22,False,[],2025-11-13T11:09:24.348652
T000129,A000441,d0067,v0109,R000014,2025-11-18T22:00:00,2025-11-18T22:32:00,8.0,32,49.71,23.37,2.578,4.898,15.0,11,False,[],2025-11-13T11:09:24.349996
T000130,A000162,d0192,v0054,R000227,2025-11-16T00:15:00,2025-11-16T00:46:00,13.37,31,45.77,27.66,2.267,6.076,25.88,24,False,[],2025-11-13T11:09:24.351365
T000131,A000196,d0141,v0011,R000017,2025-11-16T08:45:00,2025-11-16T08:57:00,7.55,12,30.71,16.35,0.971,1.845,37.75,5,False,[],2025-11-13T11:09:24.352751
T000132,A000324,d0089,v0088,R000758,2025-11-17T16:45:00,2025-11-17T18:44:00,39.84,119,40.94,33.35,6.188,14.294,20.09,57,False,[],2025-11-13T11:09:24.354036
T000133,A000326,d0173,v0092,R000672,2025-11-17T17:15:00,2025-11-17T17:57:00,24.58,42,25.63,32.85,4.959,9.422,35.11,73,False,[],2025-11-13T11:09:24.355327
T000134,A000110,d0029,v0016,R000501,2025-11-15T11:15:00,2025-11-15T12:44:00,45.0,89,20.26,34.62,6.499,17.417,30.34,117,False,[],2025-11-13T11:09:24.356774
T000135,A000160,d0015,v0021,R001065,2025-11-15T23:45:00,2025-11-16T01:59:00,35.55,134,23.45,16.21,3.715,7.058,15.92,6,False,[],2025-11-13T11:09:24.358053
T000136,A000229,d0058,v0013,R001018,2025-11-16T17:00:00,2025-11-16T19:03:00,49.47,123,41.06,12.43,7.129,16.468,24.13,129,False,[],2025-11-13T11:09:24.359334
T000137,A000329,d0138,v0042,R000346,2025-11-17T18:00:00,2025-11-17T18:34:00,28.0,34,42.05,25.56,11.368,30.466,49.41,66,False,[],2025-11-13T11:09:24.360679
T000138,A000465,d0169,v0141,R000221,2025-11-19T04:00:00,2025-11-19T05:22:00,36.84,82,54.98,19.4,4.703,8.936,26.96,44,False,[],2025-11-13T11:09:24.362106
T000139,A000209,d0048,v0075,R000322,2025-11-16T12:00:00,2025-11-16T12:22:00,9.32,22,45.78,13.48,2.089,5.599,25.42,20,False,[],2025-11-13T11:09:24.363637
T000140,A000480,d0090,v0011,R000663,2025-11-19T07:45:00,2025-11-19T08:07:00,12.48,22,57.53,36.08,1.818,3.454,34.04,11,False,[],2025-11-13T11:09:24.365062
T000141,A000477,d0035,v0028,R000034,2025-11-19T07:00:00,2025-11-19T07:43:00,20.08,43,46.79,28.67,5.319,14.255,28.02,49,False,[],2025-11-13T11:09:24.366452
T000142,A000285,d0118,v0119,R000091,2025-11-17T07:00:00,2025-11-17T07:09:00,3.67,9,49.01,33.45,0.403,0.766,24.47,9,False,[],2025-11-13T11:09:24.367738
T000143,A000280,d0038,v0037,R000023,2025-11-17T05:45:00,2025-11-17T06:15:00,14.3,30,42.97,24.26,2.816,7.547,28.6,16,True,[],2025-11-13T11:09:24.369033
T000144,A000413,d0072,v0049,R000036,2025-11-18T15:00:00,2025-11-18T15:28:00,10.13,28,20.97,25.23,4.118,11.036,21.71,12,False,[],2025-11-13T11:09:24.370277
T000145,A000266,d0172,v0010,R000963,2025-11-17T02:15:00,2025-11-17T03:47:00,34.31,92,34.63,20.23,4.933,13.22,22.38,96,False,[],2025-11-13T11:09:24.371487
T000146,A000114,d0098,v0054,R000290,2025-11-15T12:15:00,2025-11-15T12:45:00,14.72,30,36.76,34.33,3.12,8.362,29.44,10,False,[],2025-11-13T11:09:24.372770
